  No    Ref    V       B-V     U-B
 5447   158  15.280   1.000   0.270
 5455   158  14.200   0.560   0.310
 5461   158  13.740   0.790   0.200
 5470   158  15.230   0.830   0.370
 5476   158  11.190   0.620   0.070
 5483   158  14.600   1.290   1.090
 5485   158  15.300   0.790   0.410
 5487   158  15.710   0.890   0.320
 5488   158  14.980   0.950   0.350
 5489   158  13.580   0.510   0.420
 5492   158  15.170   0.600   0.280
 5495   158  13.350   1.670   1.530
 5496   158  14.820   0.520   0.080
 5499   158  15.850   0.850   0.310
 5501   158  15.870   0.820   0.340
 5503   158  15.440   1.040   0.360
 5505   158  13.990   0.900   0.380
 5506   158  15.360   0.720   0.310
 5508   158  14.080   0.840   0.250
 5511   158  10.670   1.180   0.960
 5514   158  13.980   0.790   0.250
 5518   158  13.430   0.990   0.450
 5519   158  13.930   0.930   0.530
 5520   158  12.740   1.880   2.090
 5521   158  15.000   0.700   0.560
 5522   158  12.540   0.550  -0.190
 5523   158  13.660   0.740   0.060
 5524   158  14.860   0.870   0.310
 5525   158  14.090   0.830   0.300
 5526   158  15.220   0.810   0.300
 5527   158  15.570   1.160   0.360
 5528   158  14.180   1.260   0.760
 5529   158  13.450   0.700   0.480
 5530   158  15.530   1.040   0.510
 5531   158  15.300   0.870   0.360
 5532   158  15.900   1.320   0.180
 5533   158  15.070   0.530   0.320
 5534   158  15.280   0.960   0.340
 5535   158  13.630   0.480   0.300
 5536   158  15.790   1.020   0.380
 5537   158  15.050   0.670   0.320
 5538   158  14.530   0.930   0.450
 5539   158  15.110   1.060   0.310
 5540   158  14.020   1.360   1.100
 5541   158  15.740   0.800   0.170
 5542   158  14.980   0.940   0.330
 5543   158  11.510   1.870   1.840
 5544   158  15.240   0.960   0.330
 5545   158  12.630   0.780   0.450
 5546   158  14.880   0.580   0.370
 5547   158  15.200   0.680   0.300
 5548   158  14.890   0.730   0.370
 5549   158  13.530   0.710   0.390
 5550   158  16.020   0.920   0.180
 5551   158  15.430   0.920   0.290
 5552   158  15.060   0.770   0.490
 5553   158  14.960   0.810   0.430
 5554   158  13.940   0.630   0.420
 5555   158  15.580   1.150   0.620
 5556   158  12.980   1.420   1.160
 5557   158  14.210   0.700  -0.140
 5558   158  14.720   0.890   0.420
 5559   158  14.920   0.930   0.490
 5560   158  15.310   0.700   0.380
 5561   158  14.510   0.620   0.330
 5562   158  15.550   0.740   0.460
 5563   158  14.770   0.940   0.300
 5564   158  10.770   1.980   2.370
 5565   158  14.130   1.450   1.120
 5566   158  13.530   0.810   0.190
 5567   158  12.240   0.680   0.120
 5568   158  12.940   0.400   0.140
 5569   158  15.390   0.900   0.140
 5570   158  11.770   1.390   1.270
 5571   158  14.120   1.010   0.530
 5572   158  15.710   0.760   0.230
 5573   158  15.340   0.640   0.340
 5574   158  15.380   1.160   0.140
 5575   158  13.240   1.490   1.290
 5576   158  14.860   1.260   0.760
 5577   158  14.060   0.790   0.460
 5578   158  15.510   0.840   0.130
 5579   158  14.810   1.260   0.790
 5580   158  15.560   0.850   0.170
 5581   158  13.920   0.710   0.100
 5582   158  16.060   0.960   0.160
 5583   158  14.120   0.740   0.150
 5584   158  15.250   0.950   0.310
 5585   158  14.690   0.760   0.230
 5586   158  15.790   0.710   0.450
 5587   158  15.840   0.750   0.420
 5588   158  13.880   0.540   0.340
 5589   158  15.600   1.080   0.310
 5590   158  14.580   0.630   0.390
 5591   158  15.360   1.040   0.150
 5592   158  12.940   1.350   1.040
 5593   158  10.780   0.400   0.180
 5594   158  14.020   0.900   0.290
 5595   158  12.750   1.540   1.450
 5596   158  10.070   0.500  -0.010
 5597   158  14.290   0.840   0.230
 5598   158  14.380   0.550   0.040
 5599   158  13.810   0.510   0.280
 5600   158  14.990   0.770   0.320
 5601   158  14.950   0.920   0.360
 5602   158  13.480   0.520         
 5603   158  15.970   0.910   0.280
 5604   158  13.980   0.680   0.270
 5605   158  15.820   1.000   0.500
 5606   158  15.530   0.800   0.340
 5607   158  14.740   1.020   0.720
 5608   158  15.410   0.960   0.050
 5609   158  14.420   0.790   0.310
 5610   158  14.820   0.400   0.600
 5611   158  13.520   1.550   1.700
 5612   158  13.980   0.810   0.250
 5613   158  16.030   0.960   0.260
 5614   158  14.510   0.760   0.470
 5615   158  12.780   0.380   0.240
 5616   158  14.220   0.680   0.270
 5617   158  15.150   0.790   0.310
 5618   158  13.700   0.600   0.410
 5619   158  15.200   1.040   0.370
 5620   158  15.720   0.750   0.170
 5621   158  12.560   1.440   1.380
 5622   158  15.660   0.890   0.360
 5623   158  14.840   0.920   0.370
 5624   158  13.820   0.470   0.280
 5625   158  12.950   0.690   0.360
 5626   158  15.360   0.760   0.680
 5627   158  14.120   0.770   0.260
 5628   158  13.970   1.080   0.660
 5629   158  13.940   0.590   0.430
 5630   158  14.390   1.280   0.860
 5631   158  13.780   1.620   1.390
 5632   158  15.160   0.830   0.450
 5633   158  14.140   0.770   0.310
 5634   158  14.410   0.670   0.430
 5635   158  14.950   0.570   0.370
 5636   158  14.810   0.850   0.370
 5637   158  15.560   0.980   0.160
 5638   158  14.680   0.620  -0.080
 5639   158  15.030   0.650   0.640
 5640   158  14.440   0.650   0.070
 5641   158  13.400   0.520   0.050
 5642   158  15.510   0.690   0.320
 5643   158  14.340   0.700   0.410
 5644   158  13.460   0.570  -0.130
 5645   158  15.580   0.920   0.310
 5646   158  11.570   0.410   0.140
 5647   158  15.490   0.690   0.160
 5648   158  14.630   0.890   0.410
 5649   158  14.230   0.850   0.280
 5650   158  15.610   0.920   0.150
 5651   158  13.280   0.800   0.290
 5652   158  15.520   0.680  -0.040
 5653   158  15.730   1.030   0.130
 5654   158  14.530   0.690  -0.060
 5655   158  14.750   0.950   0.410
 5656   158  14.650   0.790   0.260
 5657   158  14.210   0.890   0.350
 5658   158  15.420   1.000   0.370
 5659   158  13.680   1.460   1.220
 5660   158  15.350   0.810   0.310
 5661   158  15.620   0.990   0.340
 5662   158  13.750   0.730   0.190
 5663   158  14.460   0.890   0.370
 5664   158  15.670   0.730   0.490
 5665   158  13.120   0.810   0.250
 5666   158  11.260   0.350  -0.100
 5667   158  11.310   1.780   2.130
 5668   158  15.080   1.020   0.470
 5669   158  15.270   1.090   0.020
 5670   158  15.360   0.700   0.430
 5671   158  15.010   0.790   0.140
 5672   158  15.450   1.000   0.370
 5673   158  15.480   1.070   0.540
 5674   158  15.660   0.790   0.170
 5675   158  15.780   0.860   0.320
 5676   158  14.520   0.560   0.190
 5677   158  13.780   0.860   0.250
 5678   158  11.330   0.400   0.270
 5679   158  15.410   0.760   0.400
 5680   158  14.370   1.450   1.200
 5681   158   9.810   0.310  -0.070
 5682   158  14.770   0.940   0.380
 5683   158  14.460   0.840   0.380
 5684   158  15.010   0.980   0.620
 5685   158  14.890   0.840   0.430
 5686   158  15.720   1.230   0.220
 5687   158  13.750   0.750   0.220
 5688   158  13.420   0.520   0.340
 5689   158  15.220   0.970   0.700
 5690   158  14.290   0.870   0.410
 5691   158  15.030   0.560   0.410
 5692   158  15.080   0.830   0.600
 5693   158  15.900   0.880   0.240
 5694   158  14.760   0.890   0.350
 5695   158  13.980   1.390   1.050
 5696   158  15.550   0.870   0.810
 5697   158  14.960   0.960   0.350
 5698   158  15.060   0.780   0.340
 5699   158  13.810   0.840   0.290
 5700   158  15.550   0.920   0.240
 5701   158  13.880   1.230   0.750
 5702   158  13.770   0.900   0.460
 5703   158  12.120   0.460   0.320
 5704   158  14.240   0.710   0.320
 5705   158  14.230   0.600  -0.040
 5706   158  14.210   0.730   0.380
 5707   158  15.240   0.990   0.390
 5708   158  14.900   0.800   0.420
 5709   158  15.860   1.030   0.350
 5710   158  14.100   0.770   0.260
 5711   158  15.560   1.230   0.330
 5712   158  15.200   0.900   0.300
 5713   158  12.420   1.900   2.060
 5714   158  13.980   0.990   0.550
 5715   158  14.960   1.030   0.430
 5716   158  12.640   1.540   1.660
 5717   158  15.260   0.980   0.220
 5718   158  14.280   0.810   0.320
 5719   158  15.680   0.960   0.350
 5720   158  13.820   0.770   0.250
 5721   158  15.280   0.840   0.250
 5722   158  15.190   0.730   0.280
 5723   158  12.940   1.430   1.150
 5724   158  14.980   0.850   0.200
 5725   158  13.250   0.580   0.440
 5726   158  11.760   0.330  -0.100
 5727   158  15.450   0.890   0.500
 5728   158  13.450   0.510  -0.230
 5729   158  11.630   0.680   0.190
 5730   158  15.840   0.820   0.100
 5731   158  15.540   0.860   0.190
